T,w_AI*,w_IA*,pred_arg,pred_period,sim_period,match,|λ|
3,4,-26,1.6533185339895813,3.8003477115917828,,False,0.5344502822396615
4,11,-11,1.3422238236735033,4.681175521071644,4,True,2.2118842322947923
5,5,-18,1.074055212501362,5.849964912461721,8,False,1.1582453545756168
6,5,-13,0.9054687268072152,6.939152199474416,8,False,0.9778001306840991
7,12,-6,0.7836163296095484,8.018190879598313,4,False,0.8684912290281123
8,12,-6,0.7836163296095484,8.018190879598313,4,False,0.8684912290281123
